Name,Feild of work,Author's Pub,Adj.#,Citations,h-index,i10-index,HomePage,ORCID,Institution,Count for ins,Faculty
Silvia Miksch,Visualization,8,1.6,12299.0,54.0,178.0,https://www.cvast.tuwien.ac.at/team/silvia-miksch,0000-0003-4427-5703,TU Wien,2.6,15
Radu Grosu,"Robotics, Ai",5,1.0,,,,,0000-0001-5715-2142,TU Wien,2.6,15
Margit Pohl,"Hci, Visualization",4,1.0,,,,,0000-0001-7880-8702,TU Wien,2.6,15
Martin Nöllenburg,Visualization,2,0.5,2431.0,28.0,60.0,http://www.ac.tuwien.ac.at/people/noellenburg,0000-0003-0454-3937,TU Wien,2.6,15
Werner Purgathofer,Visualization,2,0.3,,,,,,TU Wien,2.6,15
Maria Christakis,Se,1,0.2,1094.0,19.0,26.0,https://mariachris.github.io/,,TU Wien,2.6,15
Schahram Dustdar,,1,0.2,42686.0,85.0,492.0,https://dsg.tuwien.ac.at/team/sd/,0000-0001-6872-8821,TU Wien,2.6,15
Thomas Grechenig,,1,0.2,,,,,,TU Wien,2.6,15
Allan Hanbury,"Web+ir, Nlp",1,0.2,9691.0,46.0,144.0,http://allan.hanbury.eu/,0000-0002-7149-5843,TU Wien,2.6,15
Andreas Rauber,,1,0.2,9493.0,48.0,183.0,http://www.ifs.tuwien.ac.at/~andi/,0000-0002-9272-6225,TU Wien,2.6,15
Robert Sablatnig,,1,0.1,,,,,0000-0003-4195-1593,TU Wien,2.6,15
Hilda Tellioglu,,1,0.5,,,,,,TU Wien,2.6,15
Andreas Zell,Robotics,36,12.3,,,,,,University of Tübingen,2.6,13
Andreas Geiger 0001,Vision,10,2.5,40498.0,68.0,125.0,http://www.cvlibs.net/,,University of Tübingen,2.6,13
Gerard Pons-Moll,Vision,7,1.3,10909.0,47.0,60.0,http://virtualhumans.mpi-inf.mpg.de/,0000-0001-5115-7794,University of Tübingen,2.6,13
Enkelejda Kasneci,"Hci, Robotics",6,1.5,4648.0,37.0,108.0,https://www.edu.sot.tum.de/hctl/prof-dr-enkelejda-kasneci/,0000-0003-3146-4484,University of Tübingen,2.6,13
Philipp Hennig,Ml,4,0.9,5651.0,38.0,73.0,http://mml.inf.uni-tuebingen.de/,0000-0001-7293-6092,University of Tübingen,2.6,13
Andreas Schilling 0001,Robotics,2,0.5,,,,,0000-0002-5339-2023,University of Tübingen,2.6,13
Martin V. Butz,"Ml, Robotics",2,0.7,6733.0,45.0,139.0,http://cm.inf.uni-tuebingen.de/,0000-0002-8120-8537,University of Tübingen,2.6,13
Martin A. Giese,Robotics,2,0.3,9964.0,48.0,133.0,http://www.compsens.uni-tuebingen.de/,0000-0003-1178-2768,University of Tübingen,2.6,13
Hendrik P. A. Lensch,Vision,2,0.5,6718.0,43.0,84.0,https://www.graphics.uni-tuebingen.de/,0000-0003-3616-8668,University of Tübingen,2.6,13
Kay Nieselt,Comp. bio,2,0.8,8225.0,44.0,86.0,http://it.inf.uni-tuebingen.de/,0000-0002-1283-7065,University of Tübingen,2.6,13
Nico Pfeifer,Comp. bio,2,0.7,5317.0,28.0,41.0,http://pfeiferlab.org/,0000-0002-4647-8566,University of Tübingen,2.6,13
Oliver Kohlbacher,,1,0.3,21552.0,69.0,215.0,https://kohlbacherlab.org/,0000-0003-1739-4598,University of Tübingen,2.6,13
Michael Krone,,1,0.1,,,,,0000-0002-1445-7568,University of Tübingen,2.6,13
Davide Scaramuzza 0001,Robotics,60,17.8,38221.0,92.0,201.0,http://rpg.ifi.uzh.ch/people_scaramuzza.html,0000-0002-3831-6778,University of Zurich,2.6,8
Elaine M. Huang,Hci,10,2.9,,,,,0000-0002-0602-5108,University of Zurich,2.6,8
Thomas Fritz 0001,"Se, Hci",7,1.8,3489.0,29.0,41.0,http://seal.ifi.uzh.ch/fritz/,0000-0002-1834-6240,University of Zurich,2.6,8
Chat Wacharamanotham,Hci,6,1.5,666.0,14.0,16.0,http://www.ifi.uzh.ch/en/zpac/people/chat.html,,University of Zurich,2.6,8
Sven Seuken,Ai,3,0.7,1734.0,22.0,47.0,http://www.ifi.uzh.ch/ce/people/seuken.html,0000-0001-8525-8120,University of Zurich,2.6,8
Alberto Bacchelli,Se,1,0.2,5868.0,40.0,80.0,http://sback.it/,0000-0003-0193-6823,University of Zurich,2.6,8
Abraham Bernstein,Web+ir,1,0.2,13507.0,60.0,150.0,http://www.ifi.uzh.ch/ddis/people/bernstein.html,0000-0002-0128-4602,University of Zurich,2.6,8
Renato Pajarola,,1,0.2,7359.0,43.0,96.0,http://vmml.ifi.uzh.ch/,0000-0002-6724-526X,University of Zurich,2.6,8
Howie Choset,Robotics,80,18.7,25767.0,74.0,297.0,http://choset.com/,0000-0002-5434-7945,Carnegie Mellon University,20.4,91
Maxim Likhachev,Robotics,59,17.7,14476.0,52.0,125.0,http://www.cs.cmu.edu/~maxim,,Carnegie Mellon University,20.4,91
Chris Harrison 0001,Hci,58,16.3,11601.0,56.0,139.0,http://www.chrisharrison.net/,0000-0001-5312-3619,Carnegie Mellon University,20.4,91
Scott E. Hudson,Hci,48,11.9,17825.0,75.0,201.0,http://scotthudson.com/,,Carnegie Mellon University,20.4,91
Mayank Goel,Hci,30,6.7,,,,,0000-0003-1237-7545,Carnegie Mellon University,20.4,91
Jessica K. Hodgins,,28,6.9,,,,,0000-0002-1778-883X,Carnegie Mellon University,20.4,91
Lining Yao,Hci,27,4.4,,,,,,Carnegie Mellon University,20.4,91
Aniket Kittur,Hci,26,6.7,13416.0,45.0,84.0,http://kittur.org/,,Carnegie Mellon University,20.4,91
Lorrie Faith Cranor,,23,3.9,42029.0,107.0,244.0,http://lorrie.cranor.org/,0000-0003-2125-0124,Carnegie Mellon University,20.4,91
Brad A. Myers,,23,6.2,34637.0,93.0,318.0,http://www.cs.cmu.edu/~bam,0000-0002-4769-0219,Carnegie Mellon University,20.4,91
Jason I. Hong,Hci,22,5.2,30300.0,80.0,180.0,http://www.cs.cmu.edu/~jasonh/,0000-0002-9856-9654,Carnegie Mellon University,20.4,91
Matthew T. Mason,,22,7.1,,,,,0000-0002-2672-5689,Carnegie Mellon University,20.4,91
J. Andrew Bagnell,Robotics,21,5.3,28528.0,69.0,154.0,http://robotwhisperer.org/,,Carnegie Mellon University,20.4,91
Jodi Forlizzi,,19,3.8,26902.0,78.0,188.0,http://www.jodiforlizzi.com/,0000-0002-7161-075X,Carnegie Mellon University,20.4,91
Martial Hebert,Vision,19,3.9,56188.0,117.0,356.0,http://www.cs.cmu.edu/~hebert,0000-0003-4566-5930,Carnegie Mellon University,20.4,91
David Lindlbauer,Hci,19,4.3,769.0,15.0,23.0,https://augmented-perception.org/,0000-0002-0809-9696,Carnegie Mellon University,20.4,91
Keenan Crane,Graphics,18,5.9,3461.0,28.0,38.0,http://www.cs.cmu.edu/~kmcrane/,0000-0003-2772-7034,Carnegie Mellon University,20.4,91
Hartmut Geyer,Robotics,18,6.1,6983.0,34.0,56.0,http://www.cs.cmu.edu/~hgeyer/,0000-0003-3238-3299,Carnegie Mellon University,20.4,91
James McCann,Hci,18,4.4,,,,,,Carnegie Mellon University,20.4,91
David Held,Robotics,17,4.5,6381.0,25.0,36.0,http://davheld.github.io/,0000-0003-0537-1508,Carnegie Mellon University,20.4,91
Carl Kingsford,Comp. bio,17,6.3,14045.0,36.0,71.0,http://kingsfordlab.cbd.cmu.edu/,0000-0002-0118-5516,Carnegie Mellon University,20.4,91
John Zimmerman,Hci,17,3.5,19907.0,58.0,140.0,http://www.cs.cmu.edu/~johnz/,0000-0001-5299-8157,Carnegie Mellon University,20.4,91
Jessica Hammer,Hci,15,3.2,4936.0,23.0,42.0,http://www.replayable.net/,0000-0003-4102-2575,Carnegie Mellon University,20.4,91
Robert E. Kraut,,15,4.5,62416.0,116.0,264.0,http://kraut.hciresearch.info/,0000-0002-8554-2137,Carnegie Mellon University,20.4,91
Ioannis Gkioulekas,"Graphics, Vision",14,3.8,1204.0,19.0,25.0,http://www.cs.cmu.edu/~igkioule/,,Carnegie Mellon University,20.4,91
Christopher G. Atkeson,Robotics,13,3.9,,,,,,Carnegie Mellon University,20.4,91
Nancy S. Pollard,Robotics,13,3.0,7846.0,41.0,78.0,http://graphics.cs.cmu.edu/nsp/,0000-0001-6464-839X,Carnegie Mellon University,20.4,91
Abhinav Gupta 0001,Vision,12,3.4,,,,,,Carnegie Mellon University,20.4,91
Yuvraj Agarwal,Hci,12,2.2,8509.0,43.0,73.0,http://cs.cmu.edu/~yuvraja,,Carnegie Mellon University,20.4,91
Alexandra Ion,Hci,12,2.6,1088.0,12.0,12.0,http://www.alexandraion.com/,0000-0001-5933-1363,Carnegie Mellon University,20.4,91
Norman M. Sadeh,"Hci, Nlp",11,2.0,,,,,0000-0003-4829-5533,Carnegie Mellon University,20.4,91
Tuomas Sandholm,,11,4.5,30563.0,92.0,294.0,http://www.cs.cmu.edu/~sandholm,0000-0001-8861-9366,Carnegie Mellon University,20.4,91
Lujo Bauer,"Hci, Security",10,1.3,11786.0,56.0,97.0,https://www.ece.cmu.edu/~lbauer,0000-0002-8209-6792,Carnegie Mellon University,20.4,91
Vincent Conitzer,,10,5.1,13574.0,61.0,166.0,http://www.cs.cmu.edu/~conitzer,0000-0003-1899-7884,Carnegie Mellon University,20.4,91
Geoff Kaufman,Hci,10,2.3,,,,,,Carnegie Mellon University,20.4,91
Alonzo Kelly,Robotics,10,3.8,,,,,,Carnegie Mellon University,20.4,91
Yong-Lae Park,Robotics,10,2.3,7335.0,39.0,80.0,http://softrobotics.snu.ac.kr/,0000-0002-2491-2114,Carnegie Mellon University,20.4,91
Nicolas Christin,Security,9,1.3,13925.0,55.0,108.0,https://www.andrew.cmu.edu/user/nicolasc,0000-0002-2506-8031,Carnegie Mellon University,20.4,91
Laura A. Dabbish,Hci,9,2.1,12906.0,41.0,81.0,http://lauradabbish.com/,0000-0001-9489-4188,Carnegie Mellon University,20.4,91
Sara B. Kiesler,,9,2.3,72313.0,103.0,214.0,http://www.cs.cmu.edu/~kiesler/index.html,,Carnegie Mellon University,20.4,91
Kenneth R. Koedinger,Hci,9,2.4,37067.0,90.0,320.0,http://pact.cs.cmu.edu/koedinger.html,0000-0002-5850-4768,Carnegie Mellon University,20.4,91
William Whittaker,Robotics,9,2.4,,,,,,Carnegie Mellon University,20.4,91
Alessandro Acquisti,Hci,8,1.2,34603.0,69.0,145.0,http://www.heinz.cmu.edu/~acquisti/,0000-0001-6582-6178,Carnegie Mellon University,20.4,91
Zhiwei Steven Wu,Ml,8,1.4,3455.0,32.0,62.0,http://zstevenwu.com/,0000-0002-8125-8227,Carnegie Mellon University,20.4,91
Jian Ma 0004,"Comp. bio, Ml",7,1.7,49385.0,112.0,290.0,http://www.rib.okayama-u.ac.jp/plant.stress/index.html,0000-0002-4202-5834,Carnegie Mellon University,20.4,91
Henny Admoni,Robotics,7,1.9,2694.0,18.0,29.0,http://hennyadmoni.com/,0000-0003-1796-2196,Carnegie Mellon University,20.4,91
Swarun Kumar,"Mobile, Networks",7,1.3,3699.0,26.0,39.0,https://swarunkumar.com/,0000-0002-5398-5347,Carnegie Mellon University,20.4,91
Amy Ogan,Hci,7,1.1,,,,,0000-0003-2671-6149,Carnegie Mellon University,20.4,91
Ziv Bar-Joseph,Comp. bio,6,2.0,20032.0,58.0,131.0,http://www.cs.cmu.edu/~zivbj/,0000-0003-3430-6051,Carnegie Mellon University,20.4,91
Patrick Carrington,Hci,6,1.2,566.0,12.0,16.0,http://www.patrickcarrington.com/,,Carnegie Mellon University,20.4,91
Levent Burak Kara,"Graphics, Hci",6,2.0,3279.0,33.0,50.0,http://vdel.me.cmu.edu/,0000-0002-2203-4020,Carnegie Mellon University,20.4,91
Srinivasa G. Narasimhan,Vision,6,1.2,14964.0,49.0,93.0,http://www.cs.cmu.edu/~srinivas,0000-0003-0389-1921,Carnegie Mellon University,20.4,91
Matthew O'Toole,"Vision, Graphics",6,1.7,1977.0,20.0,25.0,http://www.cs.cmu.edu/~motoole2/,,Carnegie Mellon University,20.4,91
Jun-Yan Zhu,Vision,6,1.3,50307.0,41.0,50.0,https://www.cs.cmu.edu/~junyanz/,0000-0001-8504-3410,Carnegie Mellon University,20.4,91
Srinivasan Seshan,,5,1.4,26922.0,70.0,137.0,http://www.cs.cmu.edu/~srini,0000-0002-9508-2066,Carnegie Mellon University,20.4,91
Takeo Kanade,,4,1.3,142307.0,167.0,624.0,http://www.ri.cmu.edu/person.html?person_id=136,0000-0002-6267-6853,Carnegie Mellon University,20.4,91
Changliu Liu,Robotics,4,1.4,1511.0,20.0,38.0,http://www.cs.cmu.edu/~cliu6/,0000-0002-3767-5517,Carnegie Mellon University,20.4,91
Daniel P. Siewiorek,,4,0.9,21357.0,70.0,217.0,http://www.cs.cmu.edu/~dps,0000-0001-6644-3929,Carnegie Mellon University,20.4,91
Vincent Aleven,Hci,3,0.8,,,,,0000-0002-1581-6657,Carnegie Mellon University,20.4,91
Yonatan Bisk,Nlp,3,0.6,4802.0,28.0,43.0,http://www.yonatanbisk.com/,,Carnegie Mellon University,20.4,91
Tom M. Mitchell,Nlp,3,0.6,4135.0,32.0,59.0,http://www.tommmitchell.com/,0000-0001-7373-0301,Carnegie Mellon University,20.4,91
Deepak Pathak,Ml,3,0.8,12041.0,26.0,42.0,https://www.cs.cmu.edu/~dpathak/,0000-0003-2496-0690,Carnegie Mellon University,20.4,91
Ronald Rosenfeld,Hci,3,0.4,,,,,0000-0002-3274-5862,Carnegie Mellon University,20.4,91
Carolyn P. Rosé,Nlp,3,0.9,15118.0,62.0,233.0,http://www.cs.cmu.edu/~cprose,,Carnegie Mellon University,20.4,91
Maria-Florina Balcan,Ml,2,0.5,,,,,,Carnegie Mellon University,20.4,91
Matt Fredrikson,"Ml, Security",2,0.3,9491.0,30.0,45.0,http://mattfredrikson.com/,,Carnegie Mellon University,20.4,91
Seth Copen Goldstein,Robotics,2,0.5,12169.0,45.0,97.0,http://www.cs.cmu.edu/~seth,,Carnegie Mellon University,20.4,91
James D. Herbsleb,Se,2,0.5,,,,,0000-0002-7159-7524,Carnegie Mellon University,20.4,91
Christopher J. Langmead,Comp. bio,2,0.6,,,,,0000-0001-7521-6736,Carnegie Mellon University,20.4,91
Robert F. Murphy,Comp. bio,2,0.6,14077.0,58.0,167.0,http://www.andrew.cmu.edu/user/murphy,0000-0003-0358-901X,Carnegie Mellon University,20.4,91
Illah R. Nourbakhsh,Ai,2,0.4,19528.0,57.0,134.0,http://illah.com/,,Carnegie Mellon University,20.4,91
Ragunathan Rajkumar,Embedded,2,0.8,28310.0,74.0,207.0,http://www.ece.cmu.edu/~raj,,Carnegie Mellon University,20.4,91
Shubham Tulsiani,Vision,2,0.4,4301.0,28.0,34.0,https://shubhtuls.github.io/,0000-0001-5651-9424,Carnegie Mellon University,20.4,91
David P. Woodruff,"Ml, Theory",2,0.5,11753.0,53.0,177.0,http://www.cs.cmu.edu/~dwoodruf,0000-0002-2158-1380,Carnegie Mellon University,20.4,91
Yiming Yang,"Ml, Nlp",2,0.5,51684.0,66.0,162.0,http://www.cs.cmu.edu/~yiming/,0000-0003-1359-0364,Carnegie Mellon University,20.4,91
Anupam Gupta 0001,Theory,1,0.3,,,,,,Carnegie Mellon University,20.4,91
Jonathan Aldrich,"Pl, Se",1,0.1,6146.0,37.0,93.0,http://www.cs.cmu.edu/~aldrich/,0000-0003-0631-5591,Carnegie Mellon University,20.4,91
Sivaraman Balakrishnan,Ml,1,0.3,4009.0,28.0,50.0,http://www.stat.cmu.edu/~siva/,,Carnegie Mellon University,20.4,91
Kathleen M. Carley,Nlp,1,0.3,45978.0,97.0,424.0,http://www.casos.cs.cmu.edu/bios/carley/carley.html,0000-0002-6356-0238,Carnegie Mellon University,20.4,91
Justine Cassell,,1,0.2,21469.0,68.0,149.0,http://www.cs.cmu.edu/~justine,0000-0003-2770-7359,Carnegie Mellon University,20.4,91
Michael A. Erdmann,,1,0.1,,,,,,Carnegie Mellon University,20.4,91
Gary K. Fedder,,1,0.3,12573.0,60.0,185.0,http://users.ece.cmu.edu/~fedder/,0000-0002-2380-5210,Carnegie Mellon University,20.4,91
Gregory R. Ganger,Os,1,0.3,,,,,0000-0002-3065-7316,Carnegie Mellon University,20.4,91
Geoffrey J. Gordon,Ml,1,0.2,,,,,,Carnegie Mellon University,20.4,91
Claire Le Goues,Se,1,0.3,7008.0,35.0,63.0,http://www.clairelegoues.com/,0000-0002-3931-060X,Carnegie Mellon University,20.4,91
Louis-Philippe Morency,Nlp,1,0.2,26807.0,78.0,238.0,http://www.cs.cmu.edu/~morency/,0000-0001-6376-7696,Carnegie Mellon University,20.4,91
André Platzer,"Logic, Embedded",1,0.3,7709.0,46.0,99.0,https://lfcps.org/,0000-0001-7238-5710,Carnegie Mellon University,20.4,91
Deva Ramanan,Vision,1,0.3,71708.0,75.0,138.0,http://www.cs.cmu.edu/~deva/,,Carnegie Mellon University,20.4,91
John C. Stamper,,1,0.3,2615.0,23.0,49.0,http://cs.cmu.edu/~jstamper,0000-0002-2291-1468,Carnegie Mellon University,20.4,91
Ameet Talwalkar,Ml,1,0.1,22668.0,45.0,69.0,http://www.cs.cmu.edu/~atalwalk/,,Carnegie Mellon University,20.4,91
Bogdan Vasilescu,Se,1,0.1,5247.0,38.0,66.0,http://bvasiles.github.io/,0000-0003-4418-5783,Carnegie Mellon University,20.4,91
Tovi Grossman,Hci,76,19.0,10797.0,59.0,144.0,https://www.tovigrossman.com/,,University of Toronto,14.6,40
Daniel J. Wigdor,Hci,51,13.1,11340.0,57.0,129.0,http://www.dgp.toronto.edu/~dwigdor,,University of Toronto,14.6,40
Fanny Chevalier,Hci,38,8.6,2883.0,31.0,52.0,http://fannychevalier.net/,,University of Toronto,14.6,40
Tim D. Barfoot,Robotics,35,12.9,8365.0,43.0,138.0,http://asrl.utias.utoronto.ca/~tdb,0000-0003-3899-631X,University of Toronto,14.6,40
Alec Jacobson,Graphics,31,9.0,3933.0,31.0,55.0,http://www.cs.toronto.edu/~jacobson,0000-0003-4603-7143,University of Toronto,14.6,40
Eitan Grinspun,Graphics,29,6.4,,,,,,University of Toronto,14.6,40
Karan Singh,"Hci, Graphics, Ml",27,6.6,5130.0,31.0,149.0,http://www.ncuindia.edu/,0000-0002-6992-1655,University of Toronto,14.6,40
Animesh Garg,"Robotics, Ml",25,4.2,4124.0,35.0,78.0,http://animesh.garg.tech/,0000-0003-0482-4296,University of Toronto,14.6,40
Yu Sun 0001,Robotics,23,3.6,17735.0,72.0,230.0,http://amnl.mie.utoronto.ca/,0000-0001-7895-0741,University of Toronto,14.6,40
Ravin Balakrishnan,Hci,22,6.1,20369.0,81.0,172.0,http://www.dgp.toronto.edu/~ravin,,University of Toronto,14.6,40
David I. W. Levin,Graphics,21,5.1,1343.0,23.0,28.0,http://www.cs.toronto.edu/~diwlevin/,0000-0001-7079-1934,University of Toronto,14.6,40
Igor Gilitschenski,Robotics,19,3.3,2238.0,25.0,56.0,http://www.gilitschenski.org/igor/,0000-0001-6426-365X,University of Toronto,14.6,40
Jonathan Kelly,Robotics,19,4.9,3665.0,24.0,43.0,http://jonathankelly.info/,0000-0002-5528-6136,University of Toronto,14.6,40
Florian Shkurti,Robotics,17,4.8,884.0,18.0,26.0,http://www.cs.toronto.edu/~florian,,University of Toronto,14.6,40
Khai N. Truong,Hci,17,5.1,6341.0,44.0,100.0,http://www.cs.toronto.edu/~khai,,University of Toronto,14.6,40
Syed Ishtiaque Ahmed,Hci,16,4.3,,,,,0000-0003-2452-0687,University of Toronto,14.6,40
Nisarg Shah 0001,Ai,14,4.3,2126.0,17.0,17.0,http://shah.ucsd.edu/,,University of Toronto,14.6,40
Jessica Burgner-Kahrs,Robotics,13,4.4,3545.0,30.0,56.0,https://www.cs.toronto.edu/~jbk,0000-0001-9185-3970,University of Toronto,14.6,40
Cosmin Munteanu,Hci,11,3.6,2199.0,23.0,48.0,http://cosmin.taglab.ca/,,University of Toronto,14.6,40
Alexander Mariakakis,Hci,9,1.3,748.0,11.0,13.0,https://mariakakis.github.io/,0000-0002-9986-3345,University of Toronto,14.6,40
Michael Brudno,"Visualization, Comp. bio",7,1.5,,,,,,University of Toronto,14.6,40
Sanja Fidler,Vision,6,1.4,26686.0,67.0,146.0,http://www.cs.utoronto.ca/~fidler/,,University of Toronto,14.6,40
Robert Soden,Hci,6,2.0,1031.0,16.0,22.0,http://robertsoden.io/,,University of Toronto,14.6,40
Joseph Jay Williams,Hci,6,1.2,3109.0,27.0,60.0,http://www.josephjaywilliams.com/,0000-0002-9122-5242,University of Toronto,14.6,40
Kiriakos N. Kutulakos,Vision,5,1.2,,,,,0000-0002-5165-902X,University of Toronto,14.6,40
Brendan J. Frey,Ml,3,0.8,50377.0,77.0,186.0,http://deepgenomics.com/,,University of Toronto,14.6,40
David B. Lindell,"Vision, Graphics",3,0.8,2372.0,20.0,25.0,https://davidlindell.com/,0000-0002-6999-3958,University of Toronto,14.6,40
Gerald Penn,"Nlp, Hci",2,0.6,26604.0,47.0,65.0,http://www.gerard-cachon.com/,0000-0003-3553-8305,University of Toronto,14.6,40
Jimmy Ba,Ml,1,0.3,159142.0,36.0,52.0,http://jimmylba.github.io/,,University of Toronto,14.6,40
Gary D. Bader,,1,0.5,72627.0,106.0,231.0,http://baderlab.org/,0000-0003-0185-8861,University of Toronto,14.6,40
Ronald Baecker,,1,0.2,,,,,,University of Toronto,14.6,40
J. Christopher Beck,Ai,1,0.3,6082.0,42.0,131.0,http://tidel.mie.utoronto.ca/,0000-0002-4656-8908,University of Toronto,14.6,40
Allan Borodin,,1,0.2,12898.0,46.0,88.0,http://www.cs.toronto.edu/~bor,,University of Toronto,14.6,40
Maryam Mehri Dehnavi,Hpc,1,0.3,674.0,14.0,19.0,https://www.cs.toronto.edu/~mmehride/,,University of Toronto,14.6,40
Sven J. Dickinson,Vision,1,0.2,9919.0,45.0,100.0,http://www.cs.toronto.edu/~sven,0000-0001-6566-9635,University of Toronto,14.6,40
Yashar Ganjali,,1,0.3,7787.0,33.0,54.0,http://www.cs.toronto.edu/~yganjali,0000-0001-5048-0522,University of Toronto,14.6,40
Eyal de Lara,Arch,1,0.1,,,,,,University of Toronto,14.6,40
Gennady Pekhimenko,Arch,1,0.3,4367.0,30.0,45.0,http://www.cs.toronto.edu/~pekhimenko/,,University of Toronto,14.6,40
Frank Rudzicz,Nlp,1,0.1,4787.0,37.0,95.0,http://www.cs.toronto.edu/~frank,,University of Toronto,14.6,40
Sushant Sachdeva,"Theory, Ml",1,0.3,1436.0,20.0,27.0,https://sachdevasushant.github.io/,0000-0002-5393-9324,University of Toronto,14.6,40
Maneesh Agrawala,,55,15.3,22194.0,77.0,192.0,http://graphics.stanford.edu/~maneesh/,0000-0002-8996-7327,Stanford University,14.1,36
Sean Follmer,Hci,44,11.3,4870.0,38.0,68.0,http://shape.stanford.edu/,0000-0001-5592-5949,Stanford University,14.1,36
C. Karen Liu,Robotics,39,10.9,,,,,0000-0001-5926-0905,Stanford University,14.1,36
Silvio Savarese,"Vision, Robotics",37,6.6,46211.0,94.0,243.0,http://cvgl.stanford.edu/silvio/,,Stanford University,14.1,36
Jeannette Bohg,Robotics,36,8.5,5213.0,32.0,62.0,http://web.stanford.edu/~bohg,0000-0002-4921-7193,Stanford University,14.1,36
Michael S. Bernstein,Hci,32,7.7,55185.0,58.0,123.0,http://hci.stanford.edu/msb,0000-0001-8020-9434,Stanford University,14.1,36
Gordon Wetzstein,"Graphics, Vision",32,7.7,14846.0,66.0,130.0,http://web.stanford.edu/~gordonwz/,0000-0002-9243-6885,Stanford University,14.1,36
James A. Landay,,28,5.9,28814.0,81.0,178.0,https://profiles.stanford.edu/james-landay,0000-0003-1520-8894,Stanford University,14.1,36
Dorsa Sadigh,Robotics,25,6.2,,,,,0000-0002-7802-9183,Stanford University,14.1,36
Leonidas J. Guibas,,23,4.6,,,,,0000-0002-8315-4886,Stanford University,14.1,36
Li Fei-Fei 0001,Vision,20,3.3,188732.0,134.0,322.0,http://vision.stanford.edu/,0000-0002-7481-0810,Stanford University,14.1,36
Pat Hanrahan,,20,5.8,,,,,0000-0002-3474-9752,Stanford University,14.1,36
Chelsea Finn,Ml,19,4.0,28408.0,58.0,121.0,http://ai.stanford.edu/~cbfinn/,0000-0001-6298-0874,Stanford University,14.1,36
Doug L. James,Graphics,19,7.4,7441.0,41.0,55.0,http://graphics.stanford.edu/~djames/publications,0000-0003-3532-8383,Stanford University,14.1,36
Oussama Khatib,Robotics,18,5.9,46507.0,77.0,217.0,http://khatib.stanford.edu/,0000-0003-0482-1415,Stanford University,14.1,36
Kayvon Fatahalian,"Graphics, Vision",12,2.6,6761.0,33.0,57.0,http://graphics.stanford.edu/~kayvonf,,Stanford University,14.1,36
Jiajun Wu 0001,"Vision, Ml",9,1.4,12326.0,50.0,87.0,https://jiajunwu.com/,0000-0002-4176-343X,Stanford University,14.1,36
Ashish Goel,"Ecom, Web+ir",8,3.2,11914.0,52.0,145.0,http://www.stanford.edu/~ashishg,,Stanford University,14.1,36
Serafim Batzoglou,Comp. bio,6,1.5,,,,,,Stanford University,14.1,36
John Kenneth Salisbury Jr.,Robotics,6,1.8,,,,,,Stanford University,14.1,36
Aviad Rubinstein,Theory,5,1.7,,,,,0000-0002-6900-8612,Stanford University,14.1,36
Emma Brunskill,Ml,4,0.7,8437.0,44.0,115.0,http://cs.stanford.edu/people/ebrun/,,Stanford University,14.1,36
Monica S. Lam,,4,0.9,,,,,,Stanford University,14.1,36
Christopher D. Manning,,4,1.1,205198.0,151.0,373.0,http://nlp.stanford.edu/~manning/,0000-0001-6155-649X,Stanford University,14.1,36
James Zou 0001,Ml,3,0.7,23519.0,50.0,128.0,https://www.james-zou.com/,0000-0001-8880-4764,Stanford University,14.1,36
Ronald Fedkiw,Graphics,3,0.7,37027.0,69.0,122.0,http://physbam.stanford.edu/~fedkiw,,Stanford University,14.1,36
Tatsunori B. Hashimoto,Ml,3,0.5,3876.0,26.0,41.0,http://thashim.com/,,Stanford University,14.1,36
Sachin Katti,Networks,3,0.4,26945.0,59.0,105.0,http://www.stanford.edu/~skatti,,Stanford University,14.1,36
Anshul Kundaje,"Ml, Comp. bio",3,0.9,49577.0,64.0,112.0,http://anshul.kundaje.net/,0000-0003-3084-2287,Stanford University,14.1,36
Mark Horowitz,,2,0.3,,,,,0000-0003-3245-7542,Stanford University,14.1,36
Daniel Jurafsky,Nlp,2,0.4,64259.0,109.0,266.0,https://web.stanford.edu/~jurafsky,,Stanford University,14.1,36
John C. Mitchell,,2,0.3,,,,,0000-0002-0024-860X,Stanford University,14.1,36
Alexander Aiken,,1,0.2,25118.0,82.0,183.0,http://theory.stanford.edu/~aiken,0000-0002-3723-9555,Stanford University,14.1,36
Nick McKeown,,1,0.2,,,,,,Stanford University,14.1,36
Omer Reingold,,1,0.3,14731.0,53.0,94.0,https://omereingold.wordpress.com/,,Stanford University,14.1,36
Keith Winstein,Networks,1,0.1,2903.0,22.0,29.0,https://cs.stanford.edu/~keithw,0000-0003-2305-8048,Stanford University,14.1,36
Dinesh Manocha,,87,23.7,52829.0,130.0,503.0,http://www.cs.umd.edu/~dm,0000-0001-7047-9801,University of Maryland - College Park,14.0,45
Niklas Elmqvist,Visualization,34,7.5,9190.0,51.0,129.0,https://sites.umiacs.umd.edu/elm/,0000-0001-5805-5301,University of Maryland - College Park,14.0,45
Pratap Tokekar,Robotics,24,8.0,2322.0,23.0,41.0,http://tokekar.com/,0000-0002-3715-0382,University of Maryland - College Park,14.0,45
Ming C. Lin,,22,6.3,39076.0,95.0,323.0,http://www.cs.umd.edu/~lin,0000-0003-3736-6949,University of Maryland - College Park,14.0,45
